,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
732,CDAQ,Compass Digital Acquisition Corp.,112.19M,-0.19%,34,-
733,PFTA,Perception Capital Corp. III,111.26M,-0.09%,5133,-
734,SSSS,SuRo Capital Corp.,110.54M,-0.23%,20989,6.60M
735,CMCA,Capitalworks Emerging Markets Acquisition Corp,110.38M,0.82%,13,-
736,FXNC,First National Corporation,110.23M,-,14,55.98M
737,CITE,Cartica Acquisition Corp,110.11M,-,168,-
738,TGAA,Target Global Acquisition I Corp.,109.91M,-0.45%,15,-
739,AHG,Akso Health Group,109.58M,36.63%,30179,2.20M
740,MFH,Mercurity Fintech Holding Inc.,109.48M,-,406,326.68K
741,CHAA,Catcha Investment Corp,108.74M,1.85%,4956,-
742,AFBI,"Affinity Bancshares, Inc.",108.44M,-,94,30.20M
743,HGBL,Heritage Global Inc.,108.08M,-5.10%,35664,60.55M
744,CIA,"Citizens, Inc.",108.02M,1.61%,16435,240.68M
745,DPCS,DP Cap Acquisition Corp I,107.41M,-,5,-
746,MCAC,Monterey Capital Acquisition Corporation,107.11M,0.18%,8,-
747,MRBK,Meridian Corporation,106.69M,2.41%,377,94.09M
748,OPRT,Oportun Financial Corporation,105.09M,-5.21%,56773,280.67M
749,CSLM,CSLM Acquisition Corp,104.61M,-0.15%,10,-
750,SFBC,"Sound Financial Bancorp, Inc.",104.35M,-,13,41.05M
751,GPAC,Global Partner Acquisition Corp II,104.01M,-,8,-
752,TWOA,two,103.96M,1.16%,102,-
753,THCP,Thunder Bridge Capital Partners IV Inc.,103.86M,-,34,-
754,LARK,"Landmark Bancorp, Inc.",103.53M,1.69%,369,57.78M
755,RVSB,"Riverview Bancorp, Inc.",103.44M,1.53%,1851,53.32M
756,BLUA,BlueRiver Acquisition Corp.,103.42M,1.21%,62744,-
757,MITA,Coliseum Acquisition Corp.,103.41M,-0.05%,123,-
758,EBMT,"Eagle Bancorp Montana, Inc.",102.78M,0.70%,487,83.74M
759,FNWD,Finward Bancorp,102.05M,-,512,68.25M
760,FNVT,Finnovate Acquisition Corp.,101.94M,0.09%,11016,-
761,FTII,FutureTech II Acquisition Corp.,100.64M,-,6,-
762,ATMV,AlphaVest Acquisition Corp,99.98M,-,10,-
763,GECC,Great Elm Capital Corp.,99.82M,-0.25%,9701,35.83M
764,CNGL,Canna-Global Acquisition Corp,99.36M,-,11,-
765,SRL,Scully Royalty Ltd.,99.16M,-1.20%,104,40.69M
766,GAMC,Golden Arrow Merger Corp.,99.10M,-0.09%,153,-
767,PWUP,PowerUp Acquisition Corp.,98.90M,-0.72%,15077,-
768,TENK,TenX Keane Acquisition Ordinary Share,98.80M,-,112,-
769,QDRO,Quadro Acquisition One Corp.,98.28M,-0.90%,11,-
770,TOP,TOP Financial Group Limited,97.72M,-2.65%,54370,11.69M
771,PROV,"Provident Financial Holdings, Inc.",97.53M,-1.07%,1948,40.35M
772,PMGM,Priveterra Acquisition Corp.,97.39M,-,11,-
773,BSBK,Bogota Financial Corp.,96.94M,0.07%,142,19.16M
774,BLAC,Bellevue Life Sciences Acquisition Corp.,96.35M,-0.09%,32,-
775,BOWN,Bowen Acquisition Corp,95.55M,0.10%,1377,-
776,TBMC,Trailblazer Merger Corporation I,95.34M,-,2285,-
777,ARBK,Argo Blockchain plc,95.23M,-3.64%,114224,-
778,OSI,Osiris Acquisition Corp.,94.91M,-,316,-
779,SBFG,"SB Financial Group, Inc.",94.35M,-2.01%,222,56.68M
780,HSPO,Horizon Space Acquisition I Corp.,93.83M,0.09%,3523,-
781,FCAP,"First Capital, Inc.",93.58M,-,106,41.66M
782,PFX,PhenixFIN Corporation,93.34M,0.07%,32,21.15M
783,GODN,Golden Star Acquisition Corporation,92.36M,0.09%,10,-
784,RBKB,"Rhinebeck Bancorp, Inc.",91.90M,-,51,42.48M
785,DISA,Disruptive Acquisition Corporation I,91.68M,-1.66%,263,-
786,GLAC,Global Lights Acquisition Corp,91.37M,-1.26%,10,-
787,RWOD,Redwoods Acquisition Corp.,91.10M,-,19,-
788,QETA,Quetta Acquisition Corporation,91.08M,-0.10%,10,-
789,SRBK,"SR Bancorp, Inc.",90.99M,0.63%,256,-
790,BLEU,bleuacacia ltd,90.61M,-0.09%,1,-
791,HMNF,"HMN Financial, Inc.",90.32M,-,18,38.33M
792,AACI,Armada Acquisition Corp. I,89.20M,8.26%,701,-
793,GLLI,Globalink Investment Inc.,89.09M,-,809,-
794,ARYD,ARYA Sciences Acquisition Corp IV,89.02M,-,2,-
795,KRNL,"Kernel Group Holdings, Inc.",88.92M,1.48%,7,-
796,IROH,Iron Horse Acquisitions Corp.,88.90M,0.10%,35106,-
797,DYCQ,DT Cloud Acquisition Corporation,88.39M,-0.05%,2096,-
798,ONYX,Onyx Acquisition Co. I,87.96M,-0.63%,20,-
799,OPOF,Old Point Financial Corporation,87.70M,-0.34%,538,60.88M
800,ACAB,Atlantic Coastal Acquisition Corp. II,87.64M,0.47%,179,-
801,USCT,Roth CH Acquisition Co,87.43M,-,12,-
802,FLFV,Feutune Light Acquisition Corporation,87.05M,-,11,-
803,TMTC,TMT Acquisition Corp,87.02M,-,12,-
804,XFIN,ExcelFin Acquisition Corp.,86.43M,-,99,-
805,IVCP,Swiftmerge Acquisition Corp.,86.20M,-,8210,-
806,GLST,"Global Star Acquisition, Inc.",86.17M,0.09%,107,-
807,BITE,Bite Acquisition Corp.,85.67M,-,7,-
808,IMAQ,International Media Acquisition Corp.,85.00M,-,61,-
809,BHAC,Focus Impact BH3 Acquisition Co.,84.41M,0.19%,130,-
810,DMYY,"dMY Squared Technology Group, Inc.",84.12M,-,115,-
811,DUET,DUET Acquisition Corp.,84.06M,-,100,-
812,AITR,AI TRANSPORTATION ACQUISITION CORP,83.05M,-0.19%,3,-
813,OCAX,OCA Acquisition Corp.,82.85M,-0.03%,4,-
814,EMCG,Embrace Change Acquisition Corp,82.84M,0.09%,112,-
815,MDBH,"MDB Capital Holdings, LLC Class A common",82.73M,-0.57%,449,6.09M
816,BRLS,Borealis Foods Inc.,81.90M,-,1442,33.39M
817,AEAE,AltEnergy Acquisition Corp.,81.70M,0.09%,133,-
818,PUCK,Goal Acquisitions Corp.,81.42M,-,8,-
819,BACA,Berenson Acquisition Corp. I,81.42M,-,179,-
820,BUJA,Bukit Jalil Global Acquisition 1 Ltd,81.34M,-0.10%,8,-
821,ASCB,A SPAC II Acquisition Corporation,81.21M,-0.09%,3,-
822,BAYA,Bayview Acquisition Corp,80.76M,-0.30%,502,-
823,LATG,Chenghe Acquisition I Co.,80.69M,-,7,-
824,WEL,Integrated Wellness Acquisition Corp,80.64M,0.27%,300,-
825,BWAQ,Blue World Acquisition Corporation,80.45M,-,6,-
826,OAKU,Oak Woods Acquisition Corporation,80.28M,-0.37%,18,-
827,FOA,Finance Of America Companies Inc.,79.95M,-11.74%,51375,52.11M
828,LIBY,Liberty Resources Acquisition Corp.,79.83M,-,35,-
829,CETU,Cetus Capital Acquisition Corp.,79.39M,-0.28%,8,-
830,PBHC,"Pathfinder Bancorp, Inc.",78.75M,-5.03%,514,42.12M
831,RFAC,RF Acquisition Corp.,78.22M,-,266,-
832,TCOA,Zalatoris Acquisition Corp,78.10M,0.18%,110,-
833,CULL,"Cullman Bancorp, Inc.",78.01M,-1.95%,128,17.00M
834,GTAC,Global Technology Acquisition Corp. I,77.99M,1.91%,9,-
835,IRAA,Iris Acquisition Corp,77.52M,-0.09%,10,-
836,GBBK,Global Blockchain Acquisition Corp.,77.50M,-0.68%,116,-
837,JVSA,JVSPAC Acquisition Corp.,77.40M,1.99%,6957,-
838,GDST,Goldenstone Acquisition Limited,76.24M,-1.61%,506,-
839,CBRG,Chain Bridge I,75.98M,4.22%,8,-
840,PORT,Southport Acquisition Corporation,75.49M,-0.55%,1353,-
841,BNAI,Brand Engagement Network Inc,75.41M,42.38%,178900,-
842,INAQ,Insight Acquisition Corp.,75.40M,-,9,-
843,FEXD,Fintech Ecosystem Development Corp.,75.26M,0.18%,46,-
844,ATMC,AlphaTime Acquisition Corp,75.20M,-,337570,-
845,TRON,Corner Growth Acquisition Corp. 2,74.64M,0.26%,10,-
846,FRLA,Fortune Rise Acquisition Corporation,74.64M,-,610,-
847,TETE,Technology & Telecommunication Acquisition Corporation,74.57M,0.26%,5234,-
848,SWSS,Clean Energy Special Situations Corp,74.46M,-3.19%,2,-
849,MGYR,"Magyar Bancorp, Inc.",73.19M,-,104,30.24M
850,SIEB,Siebert Financial Corp.,72.83M,-,1214,65.55M
851,FORL,Four Leaf Acquisition Corporation,72.68M,-0.05%,3570,-
852,TBNK,Territorial Bancorp Inc.,72.55M,1.58%,1206,45.11M
853,SSBI,Summit State Bank,71.91M,-,19,52.46M
854,MSSA,Metal Sky Star Acquisition Corporation,71.12M,-,101,-
855,FHLT,Future Health ESG Corp.,71.06M,-3.23%,1790,-
856,GMFI,Aetherium Acquisition Corp.,71.02M,-1.54%,4,-
857,UBCP,"United Bancorp, Inc.",70.73M,0.42%,7134,30.25M
858,SEPA,SEP Acquisition Corp.,70.59M,3.42%,121,-
859,AUBN,"Auburn National Bancorporation, Inc.",69.14M,-,123,23.21M
860,CLOE,Clover Leaf Capital Corp.,69.04M,-2.17%,6,-
861,IOR,"Income Opportunity Realty Investors, Inc.",68.78M,-,1016,-
862,DIST,Distoken Acquisition Corporation,68.48M,-1.21%,8,-
863,NVAC,NorthView Acquisition Corporation,67.81M,-,53,-
864,MAQC,Maquia Capital Acquisition Corporation,67.72M,-1.07%,91,-
865,ROCL,Roth Ch Acquisition V Co.,67.02M,-1.01%,125,-
866,PTWO,"Pono Capital Two, Inc.",66.75M,-0.08%,6,-
867,KYCH,Keyarch Acquisition Corporation,65.73M,-,65100,-
868,GTI,Graphjet Technology,64.91M,9.32%,10351,-
869,LSBK,"Lake Shore Bancorp, Inc.",64.08M,-,7,28.43M
870,AFAR,Aura FAT Projects Acquisition Corp,63.89M,-,22,-
871,NBST,Newbury Street Acquisition Corporation,63.67M,-,12,-
872,BHM,"Bluerock Homes Trust, Inc.",62.81M,-0.31%,979,41.09M
873,TCBC,"TC Bancshares, Inc.",62.24M,-,6,15.55M
874,VBFC,Village Bank and Trust Financial Corp.,62.24M,-0.71%,4,25.69M
875,IGTA,Inception Growth Acquisition Limited,60.69M,-0.18%,479,-
876,ACAC,Acri Capital Acquisition Corporation,60.61M,0.18%,97,-
877,BNIX,Bannix Acquisition Corp.,59.83M,-,7,-
878,LRFC,Logan Ridge Finance Corporation,59.67M,0.82%,999,20.30M
879,HAIA,Healthcare AI Acquisition Corp.,58.81M,-0.18%,135,-
880,GRYP,Gryphon Digital Mining Inc.,57.71M,-4.70%,15004,2.17M
881,MBTC,Nocturne Acquisition Corporation,56.59M,-,20,-
882,CLST,"Catalyst Bancorp, Inc.",56.14M,-,15,8.96M
883,CCTS,Cactus Acquisition Corp. 1 Limited,55.82M,0.18%,16,-
884,IROQ,"IF Bancorp, Inc.",55.35M,-,1060,22.35M
885,AAME,Atlantic American Corporation,55.29M,-,158,185.28M
886,HHGC,HHG Capital Corporation,55.25M,-0.14%,1906,-
887,PEPL,PepperLime Health Acquisition Corporation,55.09M,-,112,-
888,BYFC,Broadway Financial Corporation,54.56M,2.72%,185,32.11M
889,RACY,Relativity Acquisition Corp.,54.04M,-,46424,-
890,PLTN,Plutonian Acquisition Corp.,53.76M,-,102,-
891,FUSB,"First US Bancshares, Inc.",53.11M,1.51%,319,40.41M
892,BRAC,Broad Capital Acquisition Corp.,52.97M,0.45%,1,-
893,CLRC,ClimateRock,52.38M,-,5,-
894,SDIG,"Stronghold Digital Mining, Inc.",51.85M,-4.15%,73525,74.97M
895,BAFN,BayFirst Financial Corp.,51.59M,-,67,71.19M
896,HNNA,"Hennessy Advisors, Inc.",50.66M,-,490,24.02M
897,NICK,"Nicholas Financial, Inc.",50.59M,-0.37%,336,27.06M
898,BREZ,Breeze Holdings Acquisition Corp.,50.30M,-,103,-
899,NSTS,"NSTS Bancorp, Inc.",50.12M,-,17,7.10M
900,CFSB,"CFSB Bancorp, Inc.",49.94M,-,7,8.41M
901,BRBS,"Blue Ridge Bankshares, Inc.",49.34M,-1.56%,8320,99.26M
902,AQU,Aquaron Acquisition Corp.,49.31M,0.09%,5,-
903,BOTJ,"Bank of the James Financial Group, Inc.",49.07M,-,69,43.33M
904,VSAC,Vision Sensing Acquisition Corp.,48.82M,-1.50%,23537,-
905,WTMA,Welsbach Technology Metals Acquisition Corp.,48.62M,-,143,-
906,ZEO,ESGEN Acquisition Corp,48.59M,-0.31%,554123,-
907,SHFS,"SHF Holdings, Inc.",47.97M,7.16%,95218,16.66M
908,MARX,Mars Acquisition Corp.,47.82M,0.09%,411,-
909,APAC,StoneBridge Acquisition Corporation,47.45M,0.16%,750,-
910,HUDA,Hudson Acquisition I Corp.,47.34M,-0.19%,34,-
911,ICCH,"ICC Holdings, Inc.",47.24M,-2.27%,32,81.12M
912,AOGO,Arogo Capital Acquisition Corp.,46.85M,-0.74%,4,-
913,WINV,WinVest Acquisition Corp.,46.41M,-,4,-
914,TCBS,"Texas Community Bancshares, Inc.",45.57M,-,65,10.93M
915,ICMB,"Investcorp Credit Management BDC, Inc.",45.35M,-0.48%,6362,25.75M
916,ASRV,"AmeriServ Financial, Inc.",44.75M,-,1564,53.41M
917,INTE,Integral Acquisition Corporation 1,44.07M,-,220,-
918,DECA,Denali Capital Acquisition Corp.,43.56M,-0.45%,6900,-
919,YOTA,Yotta Acquisition Corporation,43.39M,34.97%,10815,-
920,TURN,180 Degree Capital Corp.,43.30M,-0.92%,3411,-7.89M
921,KACL,Kairous Acquisition Corp. Limited,43.21M,-0.60%,205,-
922,MACA,Moringa Acquisition Corp,43.00M,0.09%,5,-
923,MGLD,"The Marygold Companies, Inc.",42.98M,-,100,33.87M
924,MCAF,Mountain Crest Acquisition Corp. IV,42.92M,-0.38%,1578,-
925,BCOW,"1895 Bancorp of Wisconsin, Inc.",42.89M,-,12,13.76M
926,KINS,"Kingstone Companies, Inc.",42.50M,1.65%,2346,144.68M
927,GROW,"U.S. Global Investors, Inc.",42.11M,1.35%,1537,12.89M
928,PBM,Psyence Biomedical Ltd.,42.09M,-13.18%,374445,-
929,CPBI,"Central Plains Bancshares, Inc.",42.09M,-,112,-
930,ADRT,Ault Disruptive Technologies Corporation,42.01M,-4.52%,215,-
931,ACBA,Ace Global Business Acquisition Limited,41.97M,-0.15%,6,-
932,AIB,AIB Acquisition Corporation,41.72M,-0.69%,5,-
933,FGF,Fundamental Global Inc.,41.70M,3.40%,6280,26.84M
934,DHAC,Digital Health Acquisition Corp.,41.45M,1.40%,5,-
935,FSEA,First Seacoast Bancorp,41.28M,-,37,13.62M
936,OTEC,OceanTech Acquisitions I Corp.,41.10M,0.43%,14149,-
937,ASCA,A SPAC I Acquisition Corp.,40.99M,-2.70%,506,-
938,HYW,Hywin Holdings Ltd.,40.88M,-2.74%,327,288.92M
939,TGVC,TG Venture Acquisition Corp.,40.62M,-2.70%,8032,-
940,QOMO,Qomolangma Acquisition Corp.,38.94M,-0.55%,51,-
941,HFBL,"Home Federal Bancorp, Inc. of Louisiana",38.57M,-,10,22.41M
942,HUIZ,Huize Holding Limited,38.38M,4.81%,1682,1.22B
943,NOVV,Nova Vision Acquisition Corporation,38.06M,-,4,-
944,WAVS,Western Acquisition Ventures Corp.,37.70M,-,6,-
945,RAND,Rand Capital Corporation,35.62M,-0.07%,33,7.34M
946,PBBK,"PB Bankshares, Inc.",35.13M,-,37,12.95M
947,AVHI,Achari Ventures Holdings Corp. I,34.78M,-,8,-
948,MCAG,Mountain Crest Acquisition Corp. V,33.89M,-1.02%,2,-
949,OPHC,"OptimumBank Holdings, Inc.",33.75M,0.47%,58,23.12M
950,GREE,Greenidge Generation Holdings Inc.,33.59M,-3.72%,32331,42.37M
951,KFFB,Kentucky First Federal Bancorp,31.54M,-,74,7.54M
952,FUFU,BitFuFu Inc.,31.09M,-9.91%,59761,250.64M
953,SAI,SAI.TECH Global Corporation,30.28M,-10.24%,31256,8.29M
954,BTM,Bitcoin Depot Inc.,30.22M,-1.51%,37390,1.19B
955,SWIN,Solowin Holdings Ordinary Share,29.56M,-18.27%,206018,4.45M
956,ADOC,Edoc Acquisition Corp.,28.60M,2.60%,30,-
957,PPHP,PHP Ventures Acquisition Corp.,28.54M,-,1,-
958,UMAC,"Unusual Machines, Inc.",28.49M,0.79%,1388,-
959,ABTS,Abits Group Inc.,26.70M,-0.01%,5537,131.28K
960,AGBA,AGBA Acquisition Limited,26.23M,0.31%,10985,-
961,SWAG,Stran & Company Inc,25.26M,4.41%,2449,70.86M
962,TCJH,Top KingWin Ltd,24.49M,-2.40%,3772,3.12M
963,CWD,CaliberCos Inc.,24.47M,-,18,88.46M
964,MIGI,"Mawson Infrastructure Group, Inc.",23.47M,-4.18%,99089,46.41M
965,GBNY,"Generations Bancorp NY, Inc.",22.36M,-,12,11.09M
966,BTCS,BTCS Inc.,21.97M,-6.43%,29381,1.28M
967,EQS,"Equus Total Return, Inc.",20.28M,-,100,60.00K
968,BENF,Beneficient,19.62M,-4.52%,677689,-160.64M
969,RMCO,Royalty Management Holding Corporation,18.10M,-9.45%,1366,239.05K
970,NISN,"Nisun International Enterprise Development Group Co., Ltd",17.80M,1.85%,966,243.07M
971,PT,Pintec Technology Holdings Limited,17.46M,-,2702,9.65M
972,GLBZ,Glen Burnie Bancorp,16.60M,-1.74%,205,13.84M
973,MCVT,"Mill City Ventures III, Ltd.",16.54M,-,63,2.51M
974,HNRA,HNR Acquisition Corp,16.33M,-7.85%,190874,-
975,PNBK,"Patriot National Bancorp, Inc.",15.03M,-,76,26.35M
976,COHN,Cohen & Company Inc.,14.48M,-,6109,82.98M
977,PWM,Prestige Wealth Inc.,14.27M,-0.96%,3817,348.53K
978,GRDI,GRIID Infrastructure Inc.,13.53M,4.07%,30383,27.21M
979,MEGL,Magic Empire Global Limited,13.27M,-3.90%,22194,1.20M
980,CNFR,"Conifer Holdings, Inc.",13.20M,-1.02%,498,106.12M
981,NMHI,Nature's Miracle Holding Inc.,10.76M,-7.78%,55584,26.22M
982,PAPL,Pineapple Financial Inc.,10.20M,-1.44%,542,2.18M
983,AAMC,Altisource Asset Management Corporation,10.12M,5.19%,1923,5.63M
984,ATIF,ATIF Holdings Limited,10.11M,-6.25%,122,2.28M
985,AIHS,Senmiao Technology Limited,9.66M,-3.50%,1114,7.30M
986,CARV,"Carver Bancorp, Inc.",7.88M,0.63%,1467,27.57M
987,LMFA,"LM Funding America, Inc.",7.77M,-5.03%,49323,10.05M
988,SNTG,Sentage Holdings Inc.,7.13M,-2.36%,9522,-16.04K
989,OXBR,Oxbridge Re Holdings Limited,6.63M,1.77%,1213,-4.10M
990,AINC,Ashford Inc.,6.23M,1.03%,505,737.46M
991,LGHL,Lion Group Holding Ltd.,3.26M,1.72%,4642,15.18M
992,NCPL,Netcapital Inc.,1.91M,-1.58%,167189,8.94M
993,TIRX,Tian Ruixiang Holdings Ltd,1.75M,2.96%,1955,1.13M
994,RELI,"Reliance Global Group, Inc.",1.67M,5.71%,34812,14.57M
995,DXF,Dunxin Financial Holdings Limited,1.46M,0.87%,15314,-2.77M
996,AIMAU,Aimfinity Investment Corp. I,24.40K,-,15016,-
