,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
163,BOKF,BOK Financial Corporation,5.67B,-0.10%,9096,2.02B
164,PB,"Prosperity Bancshares, Inc.",5.67B,-0.35%,24679,1.09B
165,MTG,MGIC Investment Corporation,5.66B,-0.83%,342225,1.16B
166,SNV,Synovus Financial Corp.,5.54B,0.44%,151232,2.03B
167,FCFS,"FirstCash Holdings, Inc",5.35B,-0.35%,12983,3.15B
168,AXS,AXIS Capital Holdings Limited,5.33B,-0.07%,41317,5.64B
169,AMG,"Affiliated Managers Group, Inc.",5.28B,-0.31%,9431,2.06B
170,FSK,FS KKR Capital Corp.,5.18B,-0.16%,213422,1.83B
171,MARA,"Marathon Digital Holdings, Inc.",5.17B,-2.28%,12476432,387.51M
172,JHG,Janus Henderson Group plc,5.04B,-0.35%,57642,2.10B
173,AGO,Assured Guaranty Ltd.,5.04B,0.40%,10745,1.37B
174,CADE,Cadence Bank,4.93B,-0.18%,57205,1.65B
175,COOP,Mr. Cooper Group Inc.,4.82B,-2.09%,174820,1.79B
176,OZK,Bank OZK,4.82B,0.41%,74486,1.79B
177,ONB,Old National Bancorp,4.80B,-0.73%,139379,1.78B
178,FNB,F.N.B. Corporation,4.78B,-0.75%,170395,1.50B
179,FG,"F&G Annuities & Life, Inc.",4.76B,-1.17%,9225,4.50B
180,JXN,Jackson Financial Inc.,4.75B,0.71%,83325,3.16B
181,RDN,Radian Group Inc.,4.75B,-0.64%,122684,1.24B
182,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.68B,0.24%,110371,984.75M
183,ACT,"Enact Holdings, Inc.",4.67B,-0.02%,91797,1.15B
184,THG,"The Hanover Insurance Group, Inc.",4.62B,-0.96%,8834,5.99B
185,WU,The Western Union Company,4.61B,0.59%,969618,4.36B
186,BNRE,Brookfield Reinsurance Ltd.,4.61B,-0.11%,492,6.25B
187,LNC,Lincoln National Corporation,4.60B,0.59%,126837,11.65B
188,WTM,"White Mountains Insurance Group, Ltd.",4.57B,0.73%,1286,2.17B
189,ESGR,Enstar Group Limited,4.55B,0.43%,2892,1.43B
190,SLM,SLM Corporation,4.53B,-0.58%,198922,1.46B
191,UBSI,"United Bankshares, Inc.",4.52B,-0.30%,32556,1.02B
192,DNB,"Dun & Bradstreet Holdings, Inc.",4.47B,-2.26%,387575,2.31B
193,FRHC,Freedom Holding Corp.,4.47B,0.83%,8052,1.40B
194,GGAL,Grupo Financiero Galicia S.A.,4.46B,-0.27%,115097,8.95B
195,AEL,American Equity Investment Life Holding Company,4.44B,0.07%,46633,2.84B
196,BNRE.A,Brookfield Reinsurance Ltd,4.40B,-2.33%,148,6.25B
197,FFIN,"First Financial Bankshares, Inc.",4.33B,0.56%,30508,481.18M
198,GBCI,"Glacier Bancorp, Inc.",4.30B,-0.50%,22384,794.97M
199,PFSI,"PennyMac Financial Services, Inc.",4.27B,-0.41%,37848,1.40B
200,CRVL,CorVel Corporation,4.23B,-0.58%,2451,773.52M
201,MAIN,Main Street Capital Corporation,3.93B,0.31%,69435,500.39M
202,UMBF,UMB Financial Corporation,3.87B,-0.30%,8482,1.42B
203,VLY,Valley National Bancorp,3.84B,0.07%,334179,1.84B
204,PJT,PJT Partners Inc.,3.82B,-0.15%,10610,1.15B
205,AB,AllianceBernstein Holding L.P.,3.81B,1.44%,58290,299.78M
206,COLB,"Columbia Banking System, Inc.",3.80B,-0.69%,394940,1.78B
207,STEP,StepStone Group Inc.,3.78B,0.57%,117439,527.20M
208,KMPR,Kemper Corporation,3.76B,-0.16%,13039,4.94B
209,HWC,Hancock Whitney Corporation,3.67B,-0.45%,14348,1.33B
210,MC,Moelis & Company,3.58B,0.13%,48587,854.75M
211,LU,Lufax Holding Ltd,3.52B,3.26%,652197,5.46B
212,AMTD,AMTD IDEA Group,3.50B,-1.17%,4412,235.75M
213,CNS,"Cohen & Steers, Inc.",3.48B,0.52%,12014,489.64M
214,TFSL,TFS Financial Corporation,3.46B,-0.16%,60319,301.59M
215,BMA,Banco Macro S.A.,3.45B,-0.08%,53768,2.81B
216,LAZ,Lazard Ltd,3.41B,-1.45%,53562,2.52B
217,BGC,"BGC Group, Inc",3.39B,-2.27%,1173912,2.03B
218,SFBS,"ServisFirst Bancshares, Inc.",3.36B,0.06%,9216,422.64M
219,IBOC,International Bancshares Corporation,3.32B,-0.07%,14245,798.87M
220,NNI,"Nelnet, Inc.",3.26B,-0.08%,10048,1.15B
221,BUR,Burford Capital Limited,3.16B,-2.01%,114588,-
222,ABCB,Ameris Bancorp,3.15B,0.22%,15952,935.22M
223,NYCB,"New York Community Bancorp, Inc.",3.11B,-6.15%,6782953,4.93B
224,IFS,Intercorp Financial Services Inc.,3.08B,0.02%,1482,1.15B
225,ASB,Associated Banc-Corp,3.06B,-0.49%,173350,1.02B
226,VIRT,"Virtu Financial, Inc.",3.05B,0.10%,53352,2.29B
227,FHI,"Federated Hermes, Inc.",3.01B,-0.84%,35241,1.61B
228,QFIN,Qifu Technology Inc.,3.01B,0.33%,226731,2.30B
229,WD,"Walker & Dunlop, Inc.",3.00B,0.49%,13678,1.05B
230,BHF,"Brighthouse Financial, Inc.",2.99B,0.05%,20953,4.12B
231,UCBI,"United Community Banks, Inc.",2.99B,-0.08%,38783,803.82M
232,APAM,Artisan Partners Asset Management Inc.,2.98B,-0.80%,15632,975.13M
233,CNO,"CNO Financial Group, Inc.",2.89B,-0.57%,68517,4.15B
234,PIPR,Piper Sandler Companies,2.88B,-0.17%,3954,1.35B
235,HTGC,"Hercules Capital, Inc.",2.86B,-,86511,460.67M
236,GSHD,"Goosehead Insurance, Inc",2.85B,-1.29%,9421,261.28M
237,HGTY,"Hagerty, Inc.",2.84B,0.41%,2271,1.00B
238,BANF,BancFirst Corporation,2.81B,-0.32%,3574,602.41M
239,AX,"Axos Financial, Inc.",2.81B,-0.68%,34855,1.03B
240,TCBI,"Texas Capital Bancshares, Inc.",2.80B,0.61%,22502,1.00B
241,GNW,"Genworth Financial, Inc.",2.79B,0.63%,334190,7.49B
242,FBP,First BanCorp.,2.76B,0.52%,92891,868.86M
243,CATY,Cathay General Bancorp,2.75B,-0.22%,29770,784.06M
244,GBDC,"Golub Capital BDC, Inc.",2.72B,-0.22%,109886,630.98M
245,MCY,Mercury General Corporation,2.69B,-0.95%,9430,4.63B
246,FHB,"First Hawaiian, Inc.",2.69B,-0.05%,51376,810.31M
247,AMK,"AssetMark Financial Holdings, Inc.",2.66B,-0.13%,7179,708.50M
248,FIBK,"First Interstate BancSystem, Inc.",2.62B,-0.58%,73016,993.60M
249,VCTR,"Victory Capital Holdings, Inc.",2.58B,-0.55%,8480,821.03M
250,INTR,"Inter & Co, Inc.",2.57B,-0.42%,72747,975.89M
251,AVAL,Grupo Aval Acciones y Valores S.A.,2.55B,3.26%,27430,2.82B
252,AUB,Atlantic Union Bankshares Corporation,2.53B,-0.33%,23752,670.27M
253,WSFS,WSFS Financial Corporation,2.53B,-0.16%,12690,926.90M
254,NMIH,"NMI Holdings, Inc.",2.43B,0.13%,31768,579.00M
255,FULT,Fulton Financial Corporation,2.42B,-0.13%,82825,1.03B
256,CBU,"Community Bank System, Inc.",2.37B,-0.35%,26501,640.92M
257,BOH,Bank of Hawaii Corporation,2.36B,-0.67%,26899,664.63M
258,EBC,"Eastern Bankshares, Inc.",2.34B,-1.10%,176669,292.60M
259,CVBF,CVB Financial Corp.,2.33B,-0.21%,88034,545.32M
260,PSEC,Prospect Capital Corporation,2.31B,-1.71%,556738,883.81M
261,SFNC,Simmons First National Corporation,2.31B,-0.87%,15443,763.66M
262,PUYI,Highest Performances Holdings Inc.,2.21B,33.93%,13618,15.81M
263,BANC,"Banc of California, Inc.",2.19B,1.11%,198738,246.84M
264,WAFD,WaFd Inc,2.19B,1.46%,52213,673.02M
265,PAX,Patria Investments Limited,2.17B,-0.20%,17956,307.16M
266,PPBI,"Pacific Premier Bancorp, Inc.",2.17B,0.09%,41568,440.99M
267,INDB,Independent Bank Corp.,2.12B,-0.33%,18701,707.88M
268,SNEX,StoneX Group Inc.,2.12B,-0.28%,5515,67.42B
269,SPNT,SiriusPoint Ltd.,2.08B,0.33%,20933,2.74B
270,PRK,Park National Corporation,2.08B,0.03%,2167,462.84M
271,UPST,"Upstart Holdings, Inc.",2.04B,0.13%,828562,513.56M
272,PLMR,"Palomar Holdings, Inc.",2.04B,1.98%,19343,375.93M
273,SBCF,Seacoast Banking Corporation of Florida,2.04B,-0.50%,29168,529.87M
274,FFBC,First Financial Bancorp.,2.03B,-0.61%,30169,797.09M
275,BBAR,BBVA Argentina,2.01B,-0.89%,204554,971.47M
276,AGM.A,Federal Agricultural Mortgage Corporation,1.99B,-,13,350.20M
277,AGM,Federal Agricultural Mortgage Corporation,1.99B,-1.28%,2794,350.20M
278,TOWN,TowneBank,1.99B,-0.49%,16087,770.52M
279,BKU,"BankUnited, Inc.",1.97B,-0.41%,34879,873.04M
280,HTH,Hilltop Holdings Inc.,1.96B,-0.25%,24467,1.18B
281,FRME,First Merchants Corporation,1.95B,-,20846,647.50M
282,TSLX,"Sixth Street Specialty Lending, Inc.",1.90B,0.29%,46745,438.09M
283,BRP,"BRP Group, Inc.",1.90B,0.24%,22408,1.22B
284,NAVI,Navient Corporation,1.87B,-0.75%,48341,1.15B
285,BFH,"Bread Financial Holdings, Inc.",1.84B,0.99%,49725,3.06B
286,TBBK,"The Bancorp, Inc.",1.81B,0.79%,55380,447.82M
287,DFIN,"Donnelley Financial Solutions, Inc.",1.81B,-0.77%,21502,797.20M
288,NWLI,"National Western Life Group, Inc.",1.77B,0.05%,998,703.35M
289,TFIN,"Triumph Financial, Inc.",1.76B,0.24%,19812,406.05M
290,IBTX,"Independent Bank Group, Inc.",1.74B,0.19%,10361,503.86M
291,MBIN,Merchants Bancorp,1.72B,0.16%,31957,522.51M
292,LOB,"Live Oak Bancshares, Inc.",1.71B,0.20%,6430,405.72M
293,ENVA,"Enova International, Inc.",1.68B,-0.42%,14455,1.23B
294,WSBC,"WesBanco, Inc.",1.68B,0.21%,13735,584.05M
295,CLBK,"Columbia Financial, Inc.",1.67B,0.66%,6590,228.47M
296,GCMG,GCM Grosvenor Inc,1.67B,-0.45%,6825,445.00M
297,STC,Stewart Information Services Corporation,1.66B,-0.65%,22709,2.21B
298,GSBD,"Goldman Sachs BDC, Inc.",1.66B,0.36%,127441,454.91M
299,BBUC,Brookfield Business Corporation,1.66B,-0.14%,2200,7.68B
300,OFG,OFG Bancorp,1.65B,0.29%,15356,628.61M
301,VRTS,"Virtus Investment Partners, Inc.",1.64B,-0.27%,7464,845.27M
302,RNST,Renasant Corporation,1.64B,-0.12%,12514,616.81M
303,FBK,FB Financial Corporation,1.63B,-0.72%,11235,475.22M
304,LKFN,Lakeland Financial Corporation,1.62B,-0.41%,17636,241.04M
305,NBTB,NBT Bancorp Inc.,1.60B,-0.29%,11772,495.12M
306,TRMK,Trustmark Corporation,1.59B,0.15%,14779,735.26M
307,BANR,Banner Corporation,1.56B,-0.46%,9499,609.63M
308,CUBI,"Customers Bancorp, Inc.",1.56B,0.14%,32101,683.40M
309,OCSL,Oaktree Specialty Lending Corporation,1.52B,-0.16%,126831,398.09M
310,FIHL,Fidelis Insurance Holdings Limited,1.50B,1.39%,75079,3.60B
311,CHCO,City Holding Company,1.49B,-0.24%,5514,286.63M
312,DWAC,Digital World Acquisition Corp.,1.45B,-0.33%,203297,-
313,HMN,Horace Mann Educators Corporation,1.44B,-0.14%,9875,1.49B
314,EFSC,Enterprise Financial Services Corp,1.43B,-0.50%,13095,594.71M
315,SKWD,"Skyward Specialty Insurance Group, Inc.",1.43B,1.26%,41250,827.04M
316,FINV,FinVolution Group,1.41B,-0.69%,178596,1.70B
317,HTLF,"Heartland Financial USA, Inc.",1.41B,0.26%,15637,558.60M
318,NWBI,"Northwest Bancshares, Inc.",1.41B,-0.18%,58052,526.63M
319,FBNC,First Bancorp,1.40B,-0.15%,8473,386.34M
320,NTB,The Bank of N.T. Butterfield & Son Limited,1.40B,0.17%,19517,578.60M
321,WT,"WisdomTree, Inc.",1.36B,2.30%,210740,349.04M
322,FCF,First Commonwealth Financial Corporation,1.34B,-0.27%,45213,467.47M
323,HOPE,"Hope Bancorp, Inc.",1.29B,-,64137,542.34M
324,NBHC,National Bank Holdings Corporation,1.29B,-0.45%,3948,417.57M
325,SYBT,"Stock Yards Bancorp, Inc.",1.29B,-1.03%,5266,325.76M
326,NMFC,New Mountain Finance Corporation,1.27B,0.16%,68689,374.84M
327,BUSE,First Busey Corporation,1.26B,-0.94%,12826,439.44M
328,PWP,Perella Weinberg Partners,1.25B,0.52%,23746,648.65M
329,STEL,"Stellar Bancorp, Inc.",1.25B,-0.60%,6388,452.38M
330,WABC,Westamerica Bancorporation,1.25B,-0.42%,7094,324.80M
331,NIC,"Nicolet Bankshares, Inc.",1.22B,-0.77%,1369,272.50M
332,SAFT,"Safety Insurance Group, Inc.",1.22B,-0.89%,3865,930.96M
333,SRCE,1st Source Corporation,1.22B,-0.44%,7793,363.40M
334,CASH,"Pathward Financial, Inc.",1.22B,-0.50%,19682,659.96M
335,NRDS,"NerdWallet, Inc.",1.18B,-1.31%,42061,599.40M
336,STBA,"S&T Bancorp, Inc.",1.16B,-0.12%,5357,389.14M
337,TCBK,TriCo Bancshares,1.15B,-0.88%,6159,394.09M
338,LMND,"Lemonade, Inc.",1.14B,-1.17%,324074,429.80M
339,TRUP,"Trupanion, Inc.",1.13B,0.68%,60997,1.11B
340,CET,Central Securities Corp.,1.13B,0.54%,3057,57.37M
341,EIG,"Employers Holdings, Inc.",1.12B,-0.29%,6753,850.90M
342,HCI,"HCI Group, Inc.",1.11B,-0.09%,15947,550.67M
343,PFS,"Provident Financial Services, Inc.",1.10B,0.41%,47604,451.38M
344,ECPG,"Encore Capital Group, Inc.",1.09B,-1.04%,22841,1.22B
