,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,PLYM,"Plymouth Industrial REIT, Inc.",986.25M,-0.05%,7496,199.85M
147,EFC,Ellington Financial Inc.,970.19M,-0.13%,134925,276.92M
148,AHH,"Armada Hoffler Properties, Inc.",921.35M,-0.38%,43124,667.16M
149,HPP,"Hudson Pacific Properties, Inc.",918.21M,0.55%,194239,952.30M
150,ARR,"ARMOUR Residential REIT, Inc.",916.45M,-0.32%,159264,-24.37M
151,BRSP,"BrightSpire Capital, Inc.",893.00M,-1.02%,26091,232.72M
152,CSR,Centerspace,892.79M,-0.73%,3517,261.31M
153,RWT,"Redwood Trust, Inc.",793.41M,-1.00%,164209,165.63M
154,PDM,"Piedmont Office Realty Trust, Inc.",782.97M,-0.79%,29564,577.76M
155,BDN,Brandywine Realty Trust,754.95M,-0.11%,150149,514.65M
156,CHCT,Community Healthcare Trust Incorporated,735.47M,-0.19%,3616,112.85M
157,DX,"Dynex Capital, Inc.",730.63M,-0.48%,128676,26.75M
158,RDFN,Redfin Corporation,716.64M,-2.16%,1143985,976.67M
159,CBL,"CBL & Associates Properties, Inc.",710.01M,-0.27%,1973,535.29M
160,KREF,KKR Real Estate Finance Trust Inc.,702.15M,-0.30%,35007,202.81M
161,INN,"Summit Hotel Properties, Inc.",667.08M,-,49802,736.13M
162,NYMT,"New York Mortgage Trust, Inc.",657.80M,-0.76%,55019,198.87M
163,GMRE,Global Medical REIT Inc.,616.82M,-0.69%,27852,141.05M
164,WSR,Whitestone REIT,604.28M,0.08%,25894,146.97M
165,DHC,Diversified Healthcare Trust,589.02M,-0.41%,76778,1.41B
166,TRTX,"TPG RE Finance Trust, Inc.",587.91M,0.53%,48256,116.39M
167,PGRU,PropertyGuru Limited,586.49M,0.83%,1340,113.74M
168,FRPH,"FRP Holdings, Inc.",578.35M,0.67%,260,41.25M
169,HOUS,Anywhere Real Estate Inc.,576.75M,0.96%,109128,5.64B
170,REAX,The Real Brokerage Inc.,558.16M,-12.83%,505846,689.16M
171,GOOD,Gladstone Commercial Corporation,538.16M,-0.15%,65916,147.58M
172,FPI,Farmland Partners Inc.,531.70M,-0.79%,22779,57.47M
173,CLDT,Chatham Lodging Trust,506.94M,-0.60%,4343,311.11M
174,SRG,Seritage Growth Properties,503.98M,-2.95%,155237,34.56M
175,UHT,Universal Health Realty Income Trust,488.54M,-0.08%,6061,95.58M
176,OLP,"One Liberty Properties, Inc.",479.69M,-,2027,90.65M
177,LAND,Gladstone Land Corporation,468.56M,-0.62%,11980,90.40M
178,FPH,"Five Point Holdings, LLC",467.19M,-0.63%,939,211.73M
179,LSEA,Landsea Homes Corporation,447.39M,-2.01%,15901,1.21B
180,IVR,Invesco Mortgage Capital Inc.,444.87M,-0.82%,67808,3.87M
181,ORC,"Orchid Island Capital, Inc.",442.71M,-0.12%,76215,-20.70M
182,ACRE,Ares Commercial Real Estate Corporation,419.60M,-0.78%,101458,92.93M
183,MLP,"Maui Land & Pineapple Company, Inc.",416.62M,-0.99%,2345,9.05M
184,STRW,Strawberry Fields REIT LLC,409.74M,-,52,97.90M
185,PSTL,"Postal Realty Trust, Inc.",389.35M,-0.21%,2773,63.71M
186,RMR,The RMR Group Inc.,388.48M,0.09%,5323,973.25M
187,CTO,"CTO Realty Growth, Inc.",380.45M,-0.48%,9756,109.12M
188,NLOP,Net Lease Office Properties,332.04M,-,8544,174.97M
189,TCI,"Transcontinental Realty Investors, Inc.",321.81M,1.10%,103,49.24M
190,NREF,"NexPoint Real Estate Finance, Inc.",304.65M,0.51%,3198,28.68M
191,REFI,"Chicago Atlantic Real Estate Finance, Inc.",294.98M,0.80%,9398,57.15M
192,ARL,"American Realty Investors, Inc.",290.74M,-,85,49.76M
193,BRT,BRT Apartments Corp.,285.22M,1.83%,8290,93.62M
194,AOMR,"Angel Oak Mortgage, Inc.",262.88M,-0.28%,8066,54.86M
195,AFCG,"AFC Gamma, Inc.",258.55M,-0.80%,21120,64.18M
196,FLJ,FLJ Group Limited,257.96M,5.41%,6175,-
197,ILPT,Industrial Logistics Properties Trust,255.47M,-0.52%,7414,437.34M
198,NEN,New England Realty Associates LP,252.23M,-,4,74.48M
199,GPMT,Granite Point Mortgage Trust Inc.,243.30M,-0.42%,99466,-19.81M
200,RMAX,"RE/MAX Holdings, Inc.",242.37M,-3.56%,72154,325.67M
201,PINE,"Alpine Income Property Trust, Inc.",227.23M,-0.33%,3385,45.64M
202,FSP,Franklin Street Properties Corp.,224.44M,-1.15%,26297,145.71M
203,OPAD,Offerpad Solutions Inc.,221.01M,-,397,1.31B
204,OZ,"Belpointe PREP, LLC",217.34M,-0.25%,34,2.16M
205,CLPR,Clipper Realty Inc.,208.09M,-4.07%,4654,138.21M
206,ONL,Orion Office REIT Inc.,194.13M,-1.15%,46400,195.04M
207,SACH,Sachem Capital Corp.,192.31M,-0.12%,40865,64.59M
208,SEVN,Seven Hills Realty Trust,190.47M,0.23%,4165,34.51M
209,SDHC,Smith Douglas Homes Corp.,184.08M,-0.91%,5479,755.35M
210,STRS,Stratus Properties Inc.,176.23M,2.23%,1008,26.30M
211,MITT,"AG Mortgage Investment Trust, Inc.",170.83M,0.43%,21499,93.85M
212,CIO,"City Office REIT, Inc.",168.65M,-1.19%,21154,179.10M
213,STHO,Star Holdings,158.10M,-0.51%,4867,123.05M
214,BHR,Braemar Hotels & Resorts Inc.,157.74M,-1.89%,44693,739.34M
215,DOUG,Douglas Elliman Inc.,155.61M,-4.41%,156266,955.58M
216,MDV,Modiv Inc.,146.49M,-1.06%,7834,46.94M
217,AXR,AMREP Corporation,128.41M,-,112,44.53M
218,EARN,Ellington Residential Mortgage REIT,126.65M,0.63%,90125,-2.71M
219,LFT,"Lument Finance Trust, Inc.",115.43M,-,18849,31.97M
220,CHMI,Cherry Hill Mortgage Investment Corporation,104.65M,-1.02%,58052,-21.20M
221,OPI,Office Properties Income Trust,98.97M,-4.43%,162835,533.55M
222,AJX,Great Ajax Corp.,98.58M,1.53%,7532,-17.07M
223,ACR,ACRES Commercial Realty Corp.,88.72M,0.26%,3552,91.13M
224,MAYS,"J.W. Mays, Inc.",87.95M,3.98%,2,21.71M
225,CMCT,Creative Media & Community Trust Corporation,85.45M,-,42,115.66M
226,ASPS,Altisource Portfolio Solutions S.A.,69.88M,-0.76%,3912,145.07M
227,AIRE,reAlpha Tech Corp.,60.01M,2.17%,36031,-
228,SOHO,Sotherly Hotels Inc.,56.46M,-0.70%,274,173.03M
229,AHT,"Ashford Hospitality Trust, Inc.",56.44M,-,51054,1.37B
230,DOMA,Doma Holdings Inc.,56.13M,-,286,335.84M
231,LOAN,"Manhattan Bridge Capital, Inc.",54.79M,-,2526,9.80M
232,WETH,Wetouch Technology Inc.,52.80M,0.89%,199421,39.88M
233,LRE,"Lead Real Estate Co., Ltd",51.29M,-1.44%,1958,116.97M
234,SELF,"Global Self Storage, Inc.",48.03M,-,1118,12.27M
235,LODE,Comstock Inc.,45.52M,1.76%,36178,1.27M
236,CHCI,"Comstock Holding Companies, Inc.",45.07M,-0.21%,1036,43.01M
237,FTHM,Fathom Holdings Inc.,44.65M,-2.31%,9212,354.59M
238,RFL,"Rafael Holdings, Inc.",42.53M,0.58%,1335,275.00K
239,LRHC,La Rosa Holding Corp.,26.75M,-4.21%,1717,26.32M
240,OMH,Ohmyhome Limited,23.23M,-0.98%,41508,4.34M
241,GIPR,"Generation Income Properties, Inc.",19.94M,0.30%,722,5.91M
242,GYRO,"Gyrodyne, LLC",18.21M,-,4,-
243,LEJU,Leju Holdings Limited,17.92M,-0.38%,1123,332.27M
244,SQFT,"Presidio Property Trust, Inc.",16.89M,-1.69%,682,17.63M
245,NYC,American Strategic Investment Co,16.74M,-4.74%,1410,63.53M
246,XIN,"Xinyuan Real Estate Co., Ltd.",15.92M,-,62,754.13M
247,MDJH,MDJM Ltd,14.36M,4.27%,34,29.45K
248,MDRR,"Medalist Diversified REIT, Inc.",13.71M,-,160,10.27M
249,IHT,InnSuites Hospitality Trust,12.88M,-,77,7.39M
250,AEI,Alset EHome International Inc.,11.84M,-1.37%,2911,21.95M
251,WHLR,"Wheeler Real Estate Investment Trust, Inc.",11.01M,6.36%,96634,102.33M
252,SGD,Safe and Green Development Corporation,9.92M,-2.99%,74211,-
253,GBR,"New Concept Energy, Inc.",5.34M,1.92%,533,172.00K
254,TPHS,Trinity Place Holdings Inc.,5.16M,307.53%,69465330,42.33M
255,GGE,Green Giant Inc.,4.86M,-0.59%,1075818,1.80M
256,ALBT,Avalon GloboCare Corp.,3.74M,-0.29%,2464,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",3.56M,4.73%,3560,1.99M
258,DUO,Fangdd Network Group Ltd.,2.12M,-5.02%,87075,35.17M
259,PW,Power REIT,2.03M,4.88%,154,4.00M
260,UK,Ucommune International Ltd,1.80M,0.42%,60427,87.50M
