,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
122,AZPN,"Aspen Technology, Inc.",12.39B,0.35%,21769,1.06B
123,JNPR,"Juniper Networks, Inc.",11.75B,1.10%,507958,5.56B
124,DOCU,"DocuSign, Inc.",11.58B,3.08%,772138,2.76B
125,PCOR,"Procore Technologies, Inc.",11.39B,-0.33%,58846,950.01M
126,FLEX,Flex Ltd.,11.35B,0.76%,801538,29.39B
127,ZI,ZoomInfo Technologies Inc.,11.33B,-0.56%,503706,1.24B
128,FFIV,"F5, Inc.",11.05B,0.18%,13137,2.81B
129,CYBR,CyberArk Software Ltd.,10.96B,0.24%,39652,751.89M
130,QRVO,"Qorvo, Inc.",10.80B,0.34%,85952,3.46B
131,DOX,Amdocs Limited,10.74B,-1.48%,97757,4.95B
132,PAYC,"Paycom Software, Inc.",10.73B,0.43%,50778,1.69B
133,MNDY,monday.com Ltd.,10.62B,0.77%,44797,729.70M
134,LSCC,Lattice Semiconductor Corporation,10.41B,1.03%,83486,737.15M
135,AFRM,"Affirm Holdings, Inc.",10.34B,0.92%,1308957,1.91B
136,OTEX,Open Text Corporation,10.30B,0.14%,33823,5.70B
137,DAY,Dayforce Inc,10.28B,0.32%,48710,1.51B
138,ESTC,Elastic N.V.,10.19B,1.47%,353326,1.21B
139,INFA,Informatica Inc.,10.11B,1.87%,138174,1.60B
140,U,Unity Software Inc.,10.07B,-1.72%,1568103,2.19B
141,WEX,WEX Inc.,9.69B,0.09%,24195,2.55B
142,CFLT,"Confluent, Inc.",9.63B,2.16%,471779,776.95M
143,GWRE,"Guidewire Software, Inc.",9.39B,0.48%,39200,925.75M
144,PCTY,Paylocity Holding Corporation,9.38B,-0.25%,27761,1.29B
145,GLOB,Globant S.A.,9.33B,-0.84%,64151,2.10B
146,DUOL,"Duolingo, Inc.",9.28B,0.81%,58769,531.11M
147,SNX,TD SYNNEX Corporation,9.09B,-0.23%,34039,57.56B
148,COHR,"Coherent, Inc.",8.90B,1.24%,187290,4.63B
149,ONTO,Onto Innovation Inc.,8.62B,1.04%,47590,815.87M
150,NXT,Nextracker Inc.,8.61B,-1.71%,269805,2.28B
151,GTLB,GitLab Inc.,8.42B,1.66%,727817,579.91M
152,CACI,CACI International Inc,8.31B,0.17%,4590,7.13B
153,DBX,"Dropbox, Inc.",8.19B,1.09%,454349,2.50B
154,MKSI,"MKS Instruments, Inc.",8.13B,1.13%,31329,3.62B
155,DLB,"Dolby Laboratories, Inc.",8.01B,0.23%,20103,1.28B
156,YMM,Full Truck Alliance Co. Ltd.,7.99B,-2.95%,1273938,1.19B
157,APPF,"AppFolio, Inc.",7.94B,0.68%,16560,620.45M
158,DSGX,The Descartes Systems Group Inc.,7.87B,0.68%,50091,572.93M
159,WIX,Wix.com Ltd.,7.75B,1.96%,28986,1.56B
160,AMKR,"Amkor Technology, Inc.",7.68B,1.38%,66365,6.50B
161,OLED,Universal Display Corporation,7.56B,0.87%,28904,576.43M
162,SAIC,Science Applications International Corporation,7.43B,-10.33%,498184,7.68B
163,FN,Fabrinet,7.26B,1.33%,63135,2.72B
164,CIEN,Ciena Corporation,7.23B,-0.32%,191233,4.37B
165,CCCS,CCC Intelligent Solutions Holdings Inc.,7.13B,0.25%,366630,866.38M
166,CGNX,Cognex Corporation,6.99B,-0.18%,61623,837.55M
167,LYFT,"Lyft, Inc.",6.89B,1.10%,2209091,4.40B
168,BILL,BILL Holdings Inc,6.80B,3.33%,595110,1.19B
169,UI,Ubiquiti Inc.,6.70B,-0.36%,4838,1.88B
170,FOUR,"Shift4 Payments, Inc.",6.68B,-9.08%,1280565,2.56B
171,SPSC,"SPS Commerce, Inc.",6.66B,0.49%,6757,536.91M
172,VNT,Vontier Corporation,6.65B,0.01%,86869,3.10B
173,S,"SentinelOne, Inc.",6.60B,2.29%,1456472,621.15M
174,RMBS,Rambus Inc.,6.57B,1.47%,89596,461.12M
175,ALTR,Altair Engineering Inc.,6.52B,1.86%,35059,612.70M
176,ARW,"Arrow Electronics, Inc.",6.48B,0.22%,53445,33.11B
177,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.45B,1.81%,21195,625.45M
178,KVYO,"Klaviyo, Inc.",6.38B,4.30%,324040,698.10M
179,NOVT,Novanta Inc.,6.21B,0.65%,5677,881.66M
180,QLYS,"Qualys, Inc.",6.15B,0.67%,33321,554.46M
181,NSIT,"Insight Enterprises, Inc.",6.06B,0.17%,15019,9.18B
182,G,Genpact Limited,5.99B,-0.48%,110312,4.48B
183,LFUS,"Littelfuse, Inc.",5.77B,0.54%,4376,2.36B
184,DV,"DoubleVerify Holdings, Inc.",5.67B,0.62%,468308,572.54M
185,STNE,StoneCo Ltd.,5.44B,1.45%,1184197,2.31B
186,TENB,"Tenable Holdings, Inc.",5.43B,0.71%,64422,798.71M
187,ST,Sensata Technologies Holding plc,5.35B,0.79%,75750,4.05B
188,VRNS,"Varonis Systems, Inc.",5.34B,-0.08%,89990,499.16M
189,ALGM,"Allegro MicroSystems, Inc.",5.31B,1.93%,149202,1.08B
190,FRSH,Freshworks Inc.,5.29B,-0.28%,245232,596.43M
191,HCP,"HashiCorp, Inc.",5.28B,8.70%,2506454,583.14M
192,CLS,Celestica Inc.,5.24B,3.82%,624886,7.96B
193,PEGA,Pegasystems Inc.,5.21B,0.97%,32143,1.43B
194,DLO,DLocal Limited,5.15B,1.99%,341809,580.77M
195,SMAR,Smartsheet Inc.,5.11B,-0.04%,327852,958.34M
196,BRZE,"Braze, Inc.",5.03B,0.18%,38010,439.52M
197,KD,"Kyndryl Holdings, Inc.",4.98B,1.04%,194399,16.46B
198,EXLS,"ExlService Holdings, Inc.",4.95B,1.88%,128948,1.63B
199,EEFT,"Euronet Worldwide, Inc.",4.94B,-0.01%,24870,3.69B
200,NVMI,Nova Ltd.,4.90B,0.41%,12601,517.92M
201,ALIT,"Alight, Inc.",4.88B,0.35%,203973,3.41B
202,GBTG,"Global Business Travel Group, Inc.",4.87B,-1.16%,12243,2.29B
203,CRUS,"Cirrus Logic, Inc.",4.78B,1.76%,22702,1.79B
204,ASGN,ASGN Incorporated,4.76B,-0.35%,11349,4.45B
205,CLVT,Clarivate Plc,4.70B,0.42%,286916,2.63B
206,VERX,"Vertex, Inc.",4.60B,0.40%,49827,572.39M
207,WK,Workiva Inc.,4.59B,-0.35%,14556,630.04M
208,CWAN,"Clearwater Analytics Holdings, Inc.",4.53B,1.08%,147239,368.17M
209,BMI,"Badger Meter, Inc.",4.52B,0.18%,15901,703.59M
210,FROG,JFrog Ltd.,4.49B,1.75%,112176,349.89M
211,PAGS,PagSeguro Digital Ltd.,4.45B,2.26%,638747,3.27B
212,SQSP,"Squarespace, Inc.",4.42B,4.63%,163394,1.01B
213,FIVN,"Five9, Inc.",4.39B,-0.05%,137345,910.49M
214,CVLT,"Commvault Systems, Inc.",4.27B,0.62%,22492,819.43M
215,AVT,"Avnet, Inc.",4.25B,0.12%,33232,25.61B
216,BOX,"Box, Inc.",4.24B,-0.85%,290038,1.04B
217,LPL,"LG Display Co., Ltd.",4.24B,-0.59%,43023,16.47B
