,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
745,MICS,"The Singing Machine Company, Inc.",7.44M,1.72%,1798,29.05M
746,QH,Quhuo Limited,7.40M,0.75%,1470,510.07M
747,IFBD,"Infobird Co., Ltd",7.33M,-,103431,2.93M
748,MIND,"MIND Technology, Inc.",7.32M,-,22,38.72M
749,SCKT,"Socket Mobile, Inc.",7.25M,1.01%,1657,17.81M
750,OST,"Ostin Technology Group Co., Ltd.",7.21M,2.04%,6747,57.53M
751,BOXL,Boxlight Corporation,7.08M,4.40%,26900,176.72M
752,MOB,Mobilicom Ltd,6.95M,-0.93%,9015,1.32M
753,MITQ,"Moving iMage Technologies, Inc.",6.74M,2.43%,632,19.41M
754,GVP,"GSE Systems, Inc.",6.72M,7.40%,36283,45.64M
755,OMQS,OMNIQ Corp.,6.52M,3.28%,45382,90.75M
756,UAVS,"AgEagle Aerial Systems, Inc.",6.34M,5.26%,61025,15.29M
757,WAVD,"WaveDancer, Inc.",6.18M,23.49%,8461590,8.55M
758,INTZ,Intrusion Inc.,6.14M,4.49%,143621,5.69M
759,AWIN,AERWINS Technologies Inc.,6.00M,-8.43%,234292,3.18M
760,MRIN,Marin Software Incorporated,5.81M,5.60%,9931,17.73M
761,AMST,Amesite Inc.,5.75M,2.21%,7359,432.36K
762,IMTE,Integrated Media Technology Limited,5.59M,2.77%,27,573.11K
763,VS,Versus Systems Inc.,5.33M,1.90%,367,454.56K
764,SOPA,Society Pass Incorporated,5.29M,-5.28%,464035,9.14M
765,VVPR,VivoPower International PLC,5.13M,-4.43%,528,15.06M
766,CAMP,CalAmp Corp.,4.77M,7.61%,1640,264.74M
767,TGL,Treasure Global Inc.,4.47M,0.74%,14491,53.59M
768,NXTP,"NextPlay Technologies, Inc.",4.42M,4.05%,13607,2.91M
769,VJET,voxeljet AG,4.20M,4.26%,401875,29.61M
770,NTRP,NextTrip Inc.,3.89M,-,4562,522.87K
771,FRGT,"Freight Technologies, Inc.",3.79M,-1.94%,35786,19.68M
772,PEGY,Pineapple Energy Inc.,3.79M,-1.21%,1020880,73.79M
773,CETX,"Cemtrex, Inc.",3.51M,4.06%,2393,64.28M
774,DATS,"DatChat, Inc.",3.33M,2.24%,7107,4.42K
775,ASNS,"Actelis Networks, Inc.",3.11M,2.91%,963,7.12M
776,WTO,UTime Limited,2.88M,-4.30%,4829,21.55M
777,PRSO,Peraso Inc.,2.38M,1.82%,16325,15.80M
778,TAOP,Taoping Inc.,2.31M,-4.27%,16523,27.77M
779,OBLG,"Oblong, Inc.",2.25M,-9.63%,569830,4.29M
780,MYSZ,"My Size, Inc.",1.87M,6.60%,8235,6.69M
781,AUUD,Auddia Inc.,1.78M,-,151652,-
782,SYTA,Siyata Mobile Inc.,1.69M,-4.39%,1931,8.47M
783,XTKG,X3 Holdings Co Ltd.,1.64M,2.85%,34198,10.05M
784,WISA,"WiSA Technologies, Inc.",1.60M,-0.36%,6239917,2.58M
785,ASTI,"Ascent Solar Technologies, Inc.",1.32M,4.21%,246366,458.26K
786,BCAN,BYND Cannasoft Enterprises Inc.,945.08K,3.17%,13977404,1.11M
